     alpha         Energy
0.20000000      1.4032861
0.22500000      1.3058135
0.25000000      1.2281619
0.27500000      1.1602750
0.30000000      1.0949728
0.32500000      1.0779847
0.35000000      1.0518160
0.37500000      1.0181415
0.40000000      1.0111614
0.42500000      1.0027626
0.45000000     0.99999039
0.47500000     0.99766767
0.50000000      1.0000000
0.52500000      1.0020356
0.55000000      1.0070293
0.57500000      1.0195107
0.60000000      1.0278265
0.62500000      1.0349291
0.65000000      1.0497869
0.67500000      1.0629873
