     alpha         Energy
0.20000000      1.3971418
0.22500000      1.3025738
0.25000000      1.2317119
0.27500000      1.1512171
0.30000000      1.1002717
0.32500000      1.0779650
0.35000000      1.0422102
0.37500000      1.0220744
0.40000000      1.0112350
0.42500000      1.0043520
0.45000000     0.99923426
0.47500000     0.99973154
0.50000000      1.0000000
0.52500000      1.0036851
0.55000000      1.0093532
0.57500000      1.0185224
0.60000000      1.0294051
0.62500000      1.0342157
0.65000000      1.0417313
0.67500000      1.0611562
