     alpha         Energy
0.20000000      21.962086
0.22500000      19.911942
0.25000000      18.565189
0.27500000      17.804882
0.30000000      16.969327
0.32500000      16.317950
0.35000000      15.958398
0.37500000      15.697751
0.40000000      15.361262
0.42500000      15.203419
0.45000000      15.093956
0.47500000      15.005431
0.50000000      15.000000
0.52500000      15.022138
0.55000000      15.085768
0.57500000      15.096849
0.60000000      15.264483
0.62500000      15.447573
0.65000000      15.477789
0.67500000      15.764804

