     alpha         Energy
0.20000000      14.435619
0.22500000      13.480976
0.25000000      12.403876
0.27500000      11.842319
0.30000000      11.336479
0.32500000      11.008121
0.35000000      10.591343
0.37500000      10.395760
0.40000000      10.218921
0.42500000      10.111379
0.45000000      10.075724
0.47500000      10.005526
0.50000000      10.000000
0.52500000      10.010361
0.55000000      10.050461
0.57500000      10.125255
0.60000000      10.227948
0.62500000      10.275146
0.65000000      10.355449
0.67500000      10.431091
