     alpha         Energy
0.20000000      21.470020
0.22500000      20.371703
0.25000000      18.852605
0.27500000      17.767721
0.30000000      16.989058
0.32500000      16.545657
0.35000000      15.976847
0.37500000      15.606864
0.40000000      15.403991
0.42500000      15.125138
0.45000000      15.100461
0.47500000      15.015043
0.50000000      15.000000
0.52500000      15.019958
0.55000000      15.056057
0.57500000      15.142354
0.60000000      15.220753
0.62500000      15.427205
0.65000000      15.568411
0.67500000      15.690588
