nh	<E_L>	sigma2_b	sigma_b
4 0.5000 4.39417E-12 2.09623E-06
6 0.5000 5.74107E-12 2.39605E-06
8 0.5000 1.18407E-11 3.44103E-06
10 0.5000 1.76308E-13 4.19890E-07
12 0.5000 1.13233E-10 1.06411E-05
14 0.5000 1.83925E-10 1.35619E-05
16 0.5000 3.68266E-11 6.06849E-06
18 0.5000 1.13110E-12 1.06353E-06
20 0.5000 4.51572E-11 6.71991E-06
