nh	<E_L>	sigma2_b	sigma_b
4 0.5000 5.40764E-13 7.35366E-07
6 0.5000 4.44004E-10 2.10714E-05
8 0.5000 1.38870E-10 1.17843E-05
10 0.5000 1.19804E-12 1.09455E-06
12 0.5000 3.53376E-10 1.87983E-05
14 0.5000 2.19913E-09 4.68948E-05
16 0.5001 1.57044E-09 3.96287E-05
18 0.5000 6.27108E-11 7.91902E-06
20 0.5001 1.03397E-09 3.21553E-05
