eta	<E_L>	sigma2_b	sigma_b
1.0E-07 0.5000 1.12133E-10 1.05893E-05
1.0E-06 0.5000 1.05673E-10 1.02797E-05
1.0E-05 0.5000 1.01905E-10 1.00948E-05
1.0E-04 0.5000 1.07230E-10 1.03552E-05
1.0E-03 0.5000 7.73467E-11 8.79470E-06
1.0E-02 0.5000 4.95184E-14 2.22527E-07
1.0E-01 0.5000 6.95256E-12 2.63677E-06
1.0E+00 0.5000 6.09707E-14 2.46922E-07
1.1E+00 0.5000 1.23931E-11 3.52038E-06
1.2E+00 0.5000 6.68635E-12 2.58580E-06
