eta	<E_L>	sigma2_b	sigma_b
1.0E-07 0.5000 8.25149E-10 2.87254E-05
1.0E-06 0.5000 8.16759E-10 2.85790E-05
1.0E-05 0.5000 7.94643E-10 2.81894E-05
1.0E-04 0.5000 8.14461E-10 2.85388E-05
1.0E-03 0.5000 6.38401E-10 2.52666E-05
1.0E-02 0.5000 3.37519E-13 5.80964E-07
1.0E-01 0.5000 5.26561E-11 7.25645E-06
1.0E+00 0.5000 3.59068E-13 5.99223E-07
1.1E+00 0.5000 9.99170E-11 9.99585E-06
1.2E+00 0.5000 5.50555E-11 7.41994E-06
